100
384,387
278,416
294,336
387,493
150,422
363,28
191,60
264,427
41,427
173,237
212,369
68,430
283,31
363,124
68,136
430,303
23,59
70,168
394,457
12,43
230,374
422,420
285,38
199,325
316,371
414,27
92,481
457,374
363,171
497,282
306,426
85,328
337,6
347,230
314,358
125,396
83,46
315,368
435,365
44,251
88,309
277,179
289,85
404,152
255,400
433,61
177,369
240,13
227,87
95,40
296,71
435,379
468,102
98,403
318,493
153,257
302,281
287,442
366,190
445,120
441,230
32,118
98,272
482,176
210,428
68,357
498,354
87,466
307,184
220,125
29,372
233,330
4,20
271,369
209,216
341,150
297,224
119,246
347,452
422,56
380,489
265,229
342,351
194,1
35,265
125,415
488,357
244,492
228,366
360,437
433,52
438,229
276,408
475,122
359,396
30,238
236,294
319,429
144,12
429,30
